Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Type_of_order,Type_of_vehicle,temperature,humidity,precipitation,weather_description,Distance (km),Travel_time_minutes,Time_subtract_2,Food_manipulation,food_time,Weather_manipulation,Weather_time,Vehicle_manipulation,Vehicle_time,Traffic_manipulation,Traffic_time,Total_delay,Traffic_labels,Total_time
24,4.7,26.463504,80.372929,26.593504,80.502929,snack ,scooter ,19.99,56.0,0.0,clear sky,24.5,29.46666667,27.46666667,0.05,1.373333334,0.0,0.0,0.0,0.0,0.1,2.746666667,4.120000001,low,31.58666667
35,4.0,12.311072,76.654878,12.351072,76.694878,meal ,scooter ,17.97,77.0,0.0,scattered clouds,10.51,15.77666667,13.77666667,0.1,1.377666667,0.0,0.0,0.0,0.0,0.1,1.377666667,2.755333334,low,16.532
33,4.2,18.592718,73.773572,18.702718,73.883572,snack ,motorcycle ,18.61,65.0,0.0,clear sky,23.61,32.90833333,30.90833333,0.05,1.545416667,0.0,0.0,0.0,0.0,0.05,1.545416667,3.090833334,low,33.99916666
34,4.9,17.426228,78.407495,17.496228,78.477495,snack ,motorcycle ,21.29,64.0,0.0,overcast clouds,18.26,24.76,22.76,0.05,1.138,0.15,3.414,0.0,0.0,0.05,1.138,5.69,low,28.45
21,4.7,22.552672,88.352885,22.582672,88.382885,meal ,motorcycle ,22.99,83.0,0.0,haze,8.07,14.30166667,12.30166667,0.1,1.230166667,0.1,1.230166667,0.0,0.0,0.05,0.615083334,3.075416668,very low,15.37708334
25,4.1,18.563934,73.915367,18.643935,73.995367,snack ,motorcycle ,19.17,65.0,0.0,clear sky,23.53,22.27833333,20.27833333,0.05,1.013916667,0.0,0.0,0.0,0.0,0.05,1.013916667,2.027833334,low,22.30616666
37,5.0,11.003669,76.976494,11.013669,76.986494,snack ,motorcycle ,23.93,78.0,0.0,mist,2.07,8.501666667,6.501666667,0.05,0.325083333,0.1,0.650166667,0.0,0.0,0.05,0.325083333,1.300333333,very low,7.802
27,5.0,26.849596,75.800512,26.879596,75.830512,snack ,motorcycle ,19.44,64.0,0.0,haze,6.05,12.51,10.51,0.05,0.5255,0.1,1.051,0.0,0.0,0.05,0.5255,2.102,very low,12.612
35,4.3,21.160522,72.771477,21.250522,72.861477,drinks ,scooter ,22.92,43.0,0.0,clear sky,16.08,22.26166667,20.26166667,0.05,1.013083334,0.0,0.0,0.0,0.0,0.1,2.026166667,3.039250001,low,23.30091667
32,4.0,12.934179,77.615797,13.024179,77.705797,buffet ,motorcycle ,19.89,93.0,0.0,mist,17.37,24.41,22.41,0.08,1.7928,0.1,2.241,0.0,0.0,0.05,1.1205,5.1543,low,27.5643
23,4.8,18.51421,73.838429,18.62421,73.948429,buffet ,electric_scooter ,19.21,65.0,0.0,clear sky,19.87,28.13833333,26.13833333,0.08,2.091066666,0.0,0.0,0.03,0.78415,0.1,2.613833333,5.489049999,low,31.62738333
31,4.8,11.022477,76.995667,11.052477,77.025667,drinks ,motorcycle ,23.86,78.0,0.0,mist,6.61,14.54666667,12.54666667,0.05,0.627333334,0.1,1.254666667,0.0,0.0,0.05,0.627333334,2.509333335,very low,15.056
36,4.1,21.160437,72.774209,21.210437,72.824209,drinks ,motorcycle ,23.26,43.0,0.0,clear sky,10.6,15.54833333,13.54833333,0.05,0.677416667,0.0,0.0,0.0,0.0,0.05,0.677416667,1.354833334,very low,14.90316666
26,4.3,15.51315,73.78346,15.56315,73.83346,buffet ,motorcycle ,24.66,59.0,0.0,scattered clouds,12.29,21.25333333,19.25333333,0.08,1.540266666,0.0,0.0,0.0,0.0,0.05,0.962666667,2.502933333,very low,21.75626666
38,4.9,15.561295,73.749478,15.601295,73.789478,drinks ,scooter ,24.8,58.0,0.0,scattered clouds,9.26,16.40833333,14.40833333,0.05,0.720416667,0.0,0.0,0.0,0.0,0.1,1.440833333,2.16125,low,16.56958333
32,4.6,18.563934,73.915367,18.693935,74.045367,drinks ,scooter ,19.15,64.0,0.0,clear sky,26.35,26.45166667,24.45166667,0.05,1.222583334,0.0,0.0,0.0,0.0,0.1,2.445166667,3.667750001,low,28.11941667
33,4.9,18.55144,73.804855,18.62144,73.874855,snack ,motorcycle ,18.97,65.0,0.0,clear sky,17.24,26.17666667,24.17666667,0.05,1.208833334,0.0,0.0,0.0,0.0,0.05,1.208833334,2.417666668,low,26.59433334
20,4.7,18.593481,73.785901,18.633481,73.825901,snack ,scooter ,18.93,64.0,0.0,clear sky,8.31,15.835,13.835,0.05,0.69175,0.0,0.0,0.0,0.0,0.1,1.3835,2.07525,low,15.91025
20,4.8,21.173343,72.792731,21.183343,72.802731,meal ,scooter ,23.6,44.0,0.0,clear sky,2.23,7.736666667,5.736666667,0.1,0.573666667,0.0,0.0,0.0,0.0,0.1,0.573666667,1.147333334,very low,6.884000001
35,5.0,17.451976,78.385883,17.471976,78.405883,snack ,scooter ,21.28,65.0,0.0,broken clouds,5.75,13.66333333,11.66333333,0.05,0.583166667,0.05,0.583166667,0.0,0.0,0.1,1.166333333,2.332666667,low,13.996
26,4.9,12.972532,77.608179,12.992532,77.628179,buffet ,scooter ,20.04,91.0,0.0,mist,4.17,12.685,10.685,0.08,0.8548,0.1,1.0685,0.0,0.0,0.1,1.0685,2.9918,low,13.6768
22,4.8,12.972532,77.608179,13.042532,77.678179,snack ,motorcycle ,19.7,93.0,0.0,mist,12.08,23.9,21.9,0.05,1.095,0.1,2.19,0.0,0.0,0.05,1.095,4.38,low,26.28
29,4.6,19.121999,72.908493,19.201999,72.988493,drinks ,scooter ,24.42,49.0,0.0,clear sky,19.19,23.24666667,21.24666667,0.05,1.062333334,0.0,0.0,0.0,0.0,0.1,2.124666667,3.187000001,low,24.43366667
37,4.7,21.149569,72.772697,21.239569,72.862697,snack ,motorcycle ,22.97,43.0,0.0,clear sky,20.14,29.19833333,27.19833333,0.05,1.359916667,0.0,0.0,0.0,0.0,0.05,1.359916667,2.719833334,low,29.91816666
37,4.9,22.539129,88.365507,22.559129,88.385507,snack ,scooter ,22.99,83.0,0.0,haze,5.32,12.62833333,10.62833333,0.05,0.531416667,0.1,1.062833333,0.0,0.0,0.1,1.062833333,2.657083333,low,13.28541666
23,4.9,19.221315,72.862381,19.281315,72.922381,drinks ,electric_scooter ,24.96,48.0,0.0,clear sky,13.2,16.47,14.47,0.05,0.7235,0.0,0.0,0.03,0.4341,0.1,1.447,2.6046,low,17.0746
27,4.9,12.970324,77.645748,13.030324,77.705748,drinks ,scooter ,19.84,93.0,0.0,mist,11.37,17.77666667,15.77666667,0.05,0.788833334,0.1,1.577666667,0.0,0.0,0.1,1.577666667,3.944166668,low,19.72083334
37,4.8,13.064181,80.236442,13.104181,80.276442,drinks ,motorcycle ,26.14,88.0,0.0,mist,8.68,17.84333333,15.84333333,0.05,0.792166667,0.1,1.584333333,0.0,0.0,0.05,0.792166667,3.168666667,very low,19.012
33,5.0,21.175975,72.795503,21.185975,72.805503,snack ,scooter ,23.61,44.0,0.0,clear sky,1.82,6.74,4.74,0.05,0.237,0.0,0.0,0.0,0.0,0.1,0.474,0.711,very low,5.451
31,4.9,23.369746,85.33982,23.409746,85.37982,snack ,motorcycle ,17.72,68.0,0.0,clear sky,8.81,13.29166667,11.29166667,0.05,0.564583334,0.0,0.0,0.0,0.0,0.05,0.564583334,1.129166668,very low,12.42083334
31,4.8,12.914264,77.6784,13.024264,77.7884,drinks ,scooter ,19.91,93.0,0.0,mist,26.36,33.81833333,31.81833333,0.05,1.590916667,0.1,3.181833333,0.0,0.0,0.1,3.181833333,7.954583333,moderate,39.77291666
28,4.8,11.003681,76.975525,11.083681,77.055525,drinks ,motorcycle ,23.97,78.0,0.0,mist,15.83,24.54833333,22.54833333,0.05,1.127416667,0.1,2.254833333,0.0,0.0,0.05,1.127416667,4.509666667,low,27.058
31,4.7,21.173343,72.792731,21.233343,72.852731,snack ,motorcycle ,23.01,43.0,0.0,clear sky,11.3,16.83166667,14.83166667,0.05,0.741583334,0.0,0.0,0.0,0.0,0.05,0.741583334,1.483166668,very low,16.31483334
24,4.7,10.96185,76.971082,11.05185,77.061082,buffet ,motorcycle ,24.04,78.0,0.0,mist,19.07,29.18666667,27.18666667,0.08,2.174933334,0.1,2.718666667,0.0,0.0,0.05,1.359333334,6.252933335,low,33.4396
32,4.5,26.88842,75.800689,26.89842,75.810689,buffet ,scooter ,19.63,64.0,0.0,haze,1.78,7.98,5.98,0.08,0.4784,0.1,0.598,0.0,0.0,0.1,0.598,1.6744,very low,7.6544
33,4.9,12.3085,76.665808,12.3385,76.695808,drinks ,scooter ,18.17,81.0,0.0,broken clouds,6.08,13.12166667,11.12166667,0.05,0.556083334,0.05,0.556083334,0.0,0.0,0.1,1.112166667,2.224333335,low,13.34600001
30,4.4,21.183434,72.814492,21.253434,72.884492,drinks ,scooter ,22.83,42.0,0.0,clear sky,14.97,19.94,17.94,0.05,0.897,0.0,0.0,0.0,0.0,0.1,1.794,2.691,low,20.631
21,4.8,25.449659,81.839744,25.469659,81.859744,meal ,electric_scooter ,22.2,54.0,0.0,clear sky,4.76,9.516666667,7.516666667,0.1,0.751666667,0.0,0.0,0.03,0.2255,0.1,0.751666667,1.728833334,very low,9.245500001
39,4.9,30.372202,78.077151,30.422202,78.127151,meal ,motorcycle ,13.45,78.0,0.0,clear sky,14.69,27.30166667,25.30166667,0.1,2.530166667,0.0,0.0,0.0,0.0,0.05,1.265083334,3.795250001,low,29.09691667
22,4.7,21.157735,72.768778,21.197735,72.808778,buffet ,scooter ,23.45,43.0,0.0,clear sky,7.88,14.16333333,12.16333333,0.08,0.973066666,0.0,0.0,0.0,0.0,0.1,1.216333333,2.189399999,low,14.35273333
32,4.6,21.186438,72.794115,21.226438,72.834115,meal ,scooter ,23.1,43.0,0.0,clear sky,7.0,13.40333333,11.40333333,0.1,1.140333333,0.0,0.0,0.0,0.0,0.1,1.140333333,2.280666666,low,13.684
29,4.6,12.935662,77.61413,12.975662,77.65413,drinks ,scooter ,20.21,91.0,0.0,mist,11.19,17.22333333,15.22333333,0.05,0.761166667,0.1,1.522333333,0.0,0.0,0.1,1.522333333,3.805833333,low,19.02916666
26,4.7,17.431477,78.40035,17.491477,78.46035,buffet ,motorcycle ,21.4,64.0,0.0,broken clouds,15.46,31.27666667,29.27666667,0.08,2.342133334,0.05,1.463833334,0.0,0.0,0.05,1.463833334,5.269800002,low,34.54646667
39,4.6,12.933298,77.614293,13.023298,77.704293,drinks ,scooter ,19.9,93.0,0.0,mist,17.63,24.90166667,22.90166667,0.05,1.145083334,0.1,2.290166667,0.0,0.0,0.1,2.290166667,5.725416668,low,28.62708334
34,4.7,22.311358,73.164798,22.351358,73.204798,drinks ,electric_scooter ,19.01,82.0,0.0,haze,8.12,15.055,13.055,0.05,0.65275,0.1,1.3055,0.03,0.39165,0.1,1.3055,3.6554,low,16.7104
27,4.7,12.934365,77.616155,13.044365,77.726155,snack ,scooter ,19.74,93.0,0.0,mist,21.83,28.01833333,26.01833333,0.05,1.300916667,0.1,2.601833333,0.0,0.0,0.1,2.601833333,6.504583333,low,32.52291666
30,5.0,26.913483,75.803139,26.933483,75.823139,buffet ,motorcycle ,19.7,64.0,0.0,haze,3.98,11.925,9.925,0.08,0.794,0.1,0.9925,0.0,0.0,0.05,0.49625,2.28275,very low,12.20775
24,4.6,17.411028,78.329645,17.471028,78.389645,buffet ,motorcycle ,21.27,65.0,0.0,broken clouds,12.62,22.95333333,20.95333333,0.08,1.676266666,0.05,1.047666667,0.0,0.0,0.05,1.047666667,3.7716,low,24.72493333
39,4.8,18.516216,73.842527,18.566216,73.892527,meal ,motorcycle ,19.23,65.0,0.0,clear sky,9.82,15.69833333,13.69833333,0.1,1.369833333,0.0,0.0,0.0,0.0,0.05,0.684916667,2.05475,very low,15.75308333
24,5.0,12.939496,77.625999,12.949496,77.635999,drinks ,motorcycle ,20.3,91.0,0.0,mist,2.41,8.585,6.585,0.05,0.32925,0.1,0.6585,0.0,0.0,0.05,0.32925,1.317,very low,7.902
25,4.2,17.433809,78.386744,17.543809,78.496744,meal ,motorcycle ,21.13,64.0,0.0,overcast clouds,24.67,36.40666667,34.40666667,0.1,3.440666667,0.15,5.161000001,0.0,0.0,0.05,1.720333334,10.322,low,44.72866667
32,4.6,23.374878,85.335739,23.384878,85.345739,drinks ,motorcycle ,17.67,68.0,0.0,clear sky,3.05,8.838333333,6.838333333,0.05,0.341916667,0.0,0.0,0.0,0.0,0.05,0.341916667,0.683833334,very low,7.522166667
38,4.9,22.74806,75.8934,22.76806,75.9134,drinks ,scooter ,17.11,77.0,0.0,haze,4.46,9.705,7.705,0.05,0.38525,0.1,0.7705,0.0,0.0,0.1,0.7705,1.92625,very low,9.63125
36,4.8,26.891191,75.802083,26.981191,75.892083,buffet ,electric_scooter ,19.97,68.0,0.0,haze,17.59,22.44666667,20.44666667,0.08,1.635733334,0.1,2.044666667,0.03,0.6134,0.1,2.044666667,6.338466668,low,26.78513334
25,5.0,21.160437,72.774209,21.270437,72.884209,meal ,motorcycle ,22.88,43.0,0.0,clear sky,24.59,26.44166667,24.44166667,0.1,2.444166667,0.0,0.0,0.0,0.0,0.05,1.222083334,3.666250001,low,28.10791667
29,5.0,12.316967,76.603067,12.366967,76.653067,drinks ,motorcycle ,18.28,81.0,0.0,scattered clouds,13.43,22.25166667,20.25166667,0.05,1.012583334,0.0,0.0,0.0,0.0,0.05,1.012583334,2.025166668,low,22.27683334
33,4.7,11.022298,76.998349,11.072298,77.048349,snack ,motorcycle ,25.06,73.0,0.0,mist,9.16,19.22166667,17.22166667,0.05,0.861083334,0.1,1.722166667,0.0,0.0,0.05,0.861083334,3.444333335,very low,20.666
36,4.4,12.325461,76.632278,12.365461,76.672278,meal ,scooter ,18.36,81.0,0.0,broken clouds,8.86,17.38666667,15.38666667,0.1,1.538666667,0.05,0.769333334,0.0,0.0,0.1,1.538666667,3.846666668,low,19.23333334
21,4.8,18.530963,73.828972,18.640963,73.938972,snack ,motorcycle ,19.22,65.0,0.0,clear sky,26.41,35.94333333,33.94333333,0.05,1.697166667,0.0,0.0,0.0,0.0,0.05,1.697166667,3.394333334,low,37.33766666
25,4.8,17.458998,78.500366,17.488998,78.530366,snack ,scooter ,21.29,64.0,0.0,broken clouds,6.78,11.865,9.865,0.05,0.49325,0.05,0.49325,0.0,0.0,0.1,0.9865,1.973,very low,11.838
25,4.6,11.022477,76.995667,11.032477,77.005667,snack ,motorcycle ,24.86,73.0,0.0,mist,2.57,9.76,7.76,0.05,0.388,0.1,0.776,0.0,0.0,0.05,0.388,1.552,very low,9.312
24,4.3,22.727021,75.884167,22.747021,75.904167,meal ,motorcycle ,17.08,77.0,0.0,haze,4.04,10.43666667,8.436666667,0.1,0.843666667,0.1,0.843666667,0.0,0.0,0.05,0.421833333,2.109166667,very low,10.54583333
27,4.6,12.979166,77.640709,13.069166,77.730709,buffet ,motorcycle ,19.22,93.0,0.0,fog,18.4,23.08,21.08,0.08,1.6864,0.15,3.162,0.0,0.0,0.05,1.054,5.9024,low,26.9824
21,4.3,12.284747,76.625861,12.414747,76.755861,drinks ,scooter ,18.4,82.0,0.0,broken clouds,29.59,40.995,38.995,0.05,1.94975,0.05,1.94975,0.0,0.0,0.1,3.8995,7.799,moderate,46.794
27,4.7,21.175975,72.795503,21.195975,72.815503,snack ,scooter ,23.39,43.0,0.0,clear sky,4.15,11.04833333,9.048333333,0.05,0.452416667,0.0,0.0,0.0,0.0,0.1,0.904833333,1.35725,very low,10.40558333
32,4.2,11.000762,76.981876,11.130762,77.111876,snack ,motorcycle ,25.15,73.0,0.0,mist,26.96,30.6,28.6,0.05,1.43,0.1,2.86,0.0,0.0,0.05,1.43,5.72,low,34.32
25,4.6,21.173343,72.792731,21.283343,72.902731,drinks ,motorcycle ,22.85,43.0,0.0,clear sky,21.81,27.86,25.86,0.05,1.293,0.0,0.0,0.0,0.0,0.05,1.293,2.586,low,28.446
27,4.6,21.175104,72.804342,21.255104,72.884342,snack ,motorcycle ,22.88,43.0,0.0,clear sky,16.35,22.85333333,20.85333333,0.05,1.042666667,0.0,0.0,0.0,0.0,0.05,1.042666667,2.085333334,low,22.93866666
39,3.8,19.176269,72.836721,19.286269,72.946721,drinks ,motorcycle ,27.04,48.0,0.0,clear sky,25.68,29.66,27.66,0.05,1.383,0.0,0.0,0.0,0.0,0.05,1.383,2.766,low,30.426
31,4.8,12.975377,77.696664,13.025377,77.746664,snack ,scooter ,19.58,93.0,0.0,mist,16.6,24.66333333,22.66333333,0.05,1.133166667,0.1,2.266333333,0.0,0.0,0.1,2.266333333,5.665833333,low,28.32916666
31,4.8,23.359194,85.325447,23.419194,85.385447,buffet ,electric_scooter ,17.84,68.0,0.0,clear sky,11.34,18.11,16.11,0.08,1.2888,0.0,0.0,0.03,0.4833,0.1,1.611,3.3831,low,19.4931
20,4.8,12.297954,76.665169,12.307954,76.675169,drinks ,motorcycle ,18.05,81.0,0.0,broken clouds,3.09,8.465,6.465,0.05,0.32325,0.05,0.32325,0.0,0.0,0.05,0.32325,0.96975,very low,7.43475
36,4.9,23.359407,85.325055,23.439407,85.405055,drinks ,motorcycle ,17.58,69.0,0.0,clear sky,15.03,18.125,16.125,0.05,0.80625,0.0,0.0,0.0,0.0,0.05,0.80625,1.6125,very low,17.7375
20,4.9,23.416792,85.316842,23.506792,85.406842,meal ,motorcycle ,17.41,69.0,0.0,clear sky,18.92,27.18666667,25.18666667,0.1,2.518666667,0.0,0.0,0.0,0.0,0.05,1.259333334,3.778000001,low,28.96466667
24,4.6,26.892312,75.806896,26.922313,75.836896,drinks ,motorcycle ,19.58,68.0,0.0,haze,6.14,12.49666667,10.49666667,0.05,0.524833334,0.1,1.049666667,0.0,0.0,0.05,0.524833334,2.099333335,very low,12.596
39,4.2,22.761593,75.886362,22.871593,75.996362,snack ,scooter ,17.32,53.0,0.0,clear sky,24.35,26.92,24.92,0.05,1.246,0.0,0.0,0.0,0.0,0.1,2.492,3.738,low,28.658
37,4.8,11.026117,76.944652,11.066117,76.984652,meal ,scooter ,24.83,73.0,0.0,mist,8.81,15.06833333,13.06833333,0.1,1.306833333,0.1,1.306833333,0.0,0.0,0.1,1.306833333,3.920499999,low,16.98883333
32,4.9,13.064181,80.236442,13.104181,80.276442,drinks ,motorcycle ,26.14,88.0,0.0,mist,8.68,17.84333333,15.84333333,0.05,0.792166667,0.1,1.584333333,0.0,0.0,0.05,0.792166667,3.168666667,very low,19.012
22,4.5,26.483042,80.317833,26.533042,80.367833,drinks ,scooter ,21.8,55.0,0.0,clear sky,12.15,17.83666667,15.83666667,0.05,0.791833334,0.0,0.0,0.0,0.0,0.1,1.583666667,2.375500001,low,18.21216667
23,4.9,11.000762,76.981876,11.130762,77.111876,meal ,scooter ,25.15,73.0,0.0,mist,26.96,30.6,28.6,0.1,2.86,0.1,2.86,0.0,0.0,0.1,2.86,8.58,low,37.18
33,4.7,23.359033,85.325347,23.469033,85.435347,snack ,scooter ,17.88,67.0,0.0,clear sky,19.03,26.09,24.09,0.05,1.2045,0.0,0.0,0.0,0.0,0.1,2.409,3.6135,low,27.7035
23,4.6,22.569358,88.433452,22.599358,88.463452,drinks ,motorcycle ,23.03,83.0,0.0,haze,8.33,18.09833333,16.09833333,0.05,0.804916667,0.1,1.609833333,0.0,0.0,0.05,0.804916667,3.219666667,very low,19.318
27,4.6,12.914264,77.6784,12.994264,77.7584,drinks ,motorcycle ,19.74,93.0,0.0,mist,19.35,27.77166667,25.77166667,0.05,1.288583334,0.1,2.577166667,0.0,0.0,0.05,1.288583334,5.154333335,low,30.926
34,4.7,19.121999,72.908493,19.161999,72.948493,snack ,scooter ,27.01,44.0,0.0,smoke,11.14,18.585,16.585,0.05,0.82925,0.15,2.48775,0.0,0.0,0.1,1.6585,4.9755,low,21.5605
26,5.0,21.157729,72.768726,21.167729,72.778726,meal ,scooter ,23.91,44.0,0.0,clear sky,2.41,7.775,5.775,0.1,0.5775,0.0,0.0,0.0,0.0,0.1,0.5775,1.155,very low,6.93
31,4.6,22.311603,73.165012,22.371603,73.225012,snack ,motorcycle ,22.74,43.0,0.0,clear sky,11.07,20.72833333,18.72833333,0.05,0.936416667,0.0,0.0,0.0,0.0,0.05,0.936416667,1.872833334,very low,20.60116666
32,4.9,18.536562,73.896485,18.556562,73.916485,snack ,motorcycle ,19.26,64.0,0.0,clear sky,5.3,14.20666667,12.20666667,0.05,0.610333334,0.0,0.0,0.0,0.0,0.05,0.610333334,1.220666668,very low,13.42733334
27,4.7,22.745536,75.893106,22.765536,75.913106,buffet ,motorcycle ,17.11,77.0,0.0,haze,4.38,11.13333333,9.133333333,0.08,0.730666667,0.1,0.913333333,0.0,0.0,0.05,0.456666667,2.100666667,very low,11.234
21,4.9,12.933298,77.614293,13.023298,77.704293,drinks ,motorcycle ,19.9,93.0,0.0,mist,17.63,24.90166667,22.90166667,0.05,1.145083334,0.1,2.290166667,0.0,0.0,0.05,1.145083334,4.580333335,low,27.482
28,4.8,12.939496,77.625999,12.989496,77.675999,drinks ,motorcycle ,19.64,92.0,0.0,mist,11.56,22.235,20.235,0.05,1.01175,0.1,2.0235,0.0,0.0,0.05,1.01175,4.047,low,24.282
33,4.4,17.426228,78.407495,17.436228,78.417495,snack ,motorcycle ,21.27,65.0,0.0,broken clouds,3.09,9.756666667,7.756666667,0.05,0.387833333,0.05,0.387833333,0.0,0.0,0.05,0.387833333,1.163499999,very low,8.920166666
20,4.6,12.934365,77.616155,13.024365,77.706155,buffet ,motorcycle ,19.89,93.0,0.0,mist,17.29,24.20833333,22.20833333,0.08,1.776666666,0.1,2.220833333,0.0,0.0,0.05,1.110416667,5.107916666,low,27.31625
31,4.3,11.003669,76.976494,11.063669,77.036494,snack ,motorcycle ,24.96,73.0,0.0,mist,11.45,20.94166667,18.94166667,0.05,0.947083334,0.1,1.894166667,0.0,0.0,0.05,0.947083334,3.788333335,very low,22.73
29,4.6,18.543626,73.905101,18.573626,73.935101,snack ,scooter ,19.23,65.0,0.0,clear sky,6.28,13.99666667,11.99666667,0.05,0.599833334,0.0,0.0,0.0,0.0,0.1,1.199666667,1.799500001,low,13.79616667
36,5.0,22.311358,73.164798,22.381358,73.234798,snack ,motorcycle ,22.68,43.0,0.0,clear sky,12.93,25.1,23.1,0.05,1.155,0.0,0.0,0.0,0.0,0.05,1.155,2.31,low,25.41
39,4.1,17.41233,78.449654,17.47233,78.509654,meal ,scooter ,21.32,64.0,0.0,broken clouds,11.67,20.19833333,18.19833333,0.1,1.819833333,0.05,0.909916667,0.0,0.0,0.1,1.819833333,4.549583333,low,22.74791666
29,4.6,21.17106,72.789292,21.25106,72.869292,meal ,electric_scooter ,22.9,43.0,0.0,clear sky,14.52,21.43666667,19.43666667,0.1,1.943666667,0.0,0.0,0.03,0.5831,0.1,1.943666667,4.470433334,low,23.9071
29,4.6,21.186884,72.793616,21.226884,72.833616,snack ,scooter ,23.1,43.0,0.0,clear sky,6.71,12.85166667,10.85166667,0.05,0.542583334,0.0,0.0,0.0,0.0,0.1,1.085166667,1.627750001,low,12.47941667
37,4.9,11.026117,76.944652,11.056117,76.974652,buffet ,motorcycle ,24.82,73.0,0.0,mist,6.76,13.44333333,11.44333333,0.08,0.915466666,0.1,1.144333333,0.0,0.0,0.05,0.572166667,2.631966666,very low,14.0753
31,3.9,19.065838,72.832658,19.135838,72.902658,buffet ,scooter ,26.77,44.0,0.0,smoke,17.15,23.23833333,21.23833333,0.08,1.699066666,0.15,3.18575,0.0,0.0,0.1,2.123833333,7.008649999,low,28.24698333
26,4.4,12.98041,77.640489,13.04041,77.700489,buffet ,motorcycle ,19.5,93.0,0.0,mist,13.6,18.41833333,16.41833333,0.08,1.313466666,0.1,1.641833333,0.0,0.0,0.05,0.820916667,3.776216666,very low,20.19455
24,4.6,11.022477,76.995667,11.132477,77.105667,snack ,motorcycle ,25.15,73.0,0.0,mist,21.28,28.43166667,26.43166667,0.05,1.321583334,0.1,2.643166667,0.0,0.0,0.05,1.321583334,5.286333335,low,31.718
39,4.8,12.310972,76.659264,12.350972,76.699264,snack ,motorcycle ,17.9,77.0,0.0,scattered clouds,8.67,14.39166667,12.39166667,0.05,0.619583334,0.0,0.0,0.0,0.0,0.05,0.619583334,1.239166668,very low,13.63083334
20,4.7,11.025083,77.015393,11.105083,77.095393,drinks ,motorcycle ,25.02,73.0,0.0,mist,15.95,24.24166667,22.24166667,0.05,1.112083334,0.1,2.224166667,0.0,0.0,0.05,1.112083334,4.448333335,low,26.69
20,5.0,12.316967,76.603067,12.446967,76.733067,meal ,motorcycle ,18.12,77.0,0.0,scattered clouds,26.21,34.05666667,32.05666667,0.1,3.205666667,0.0,0.0,0.0,0.0,0.05,1.602833334,4.808500001,low,36.86516667
29,4.3,22.538731,88.364878,22.598731,88.424878,buffet ,motorcycle ,22.99,83.0,0.0,haze,12.74,23.07333333,21.07333333,0.08,1.685866666,0.1,2.107333333,0.0,0.0,0.05,1.053666667,4.846866666,low,25.9202
